Google_name,Bloverse_name
/Games/Computer & Video Games/Sandbox Games,Gaming
/Games/Computer & Video Games/Shooter Games,Gaming
/Games/Computer & Video Games/Simulation Games,Gaming
/Games/Computer & Video Games/Sports Games,Gaming
/Games/Computer & Video Games/Strategy Games,Gaming
/Games/Computer & Video Games/Video Game Emulation,Gaming
/Games/Family-Oriented Games & Activities,/Gaming
/Games/Family-Oriented Games & Activities/Drawing & Coloring,Gaming
/Games/Family-Oriented Games & Activities/Dress-Up & Fashion Games,/Gaming
/Games/Gambling,Gaming
/Games/Gambling/Lottery,/Gaming
/Games/Online Games/Massively Multiplayer Games,Gaming
/Games/Puzzles & Brainteasers,/Gaming
/Games/Roleplaying Games,/Gaming
/Games/Table Games,/Gaming
/Games/Table Games/Billiards,/Gaming
/Games/Word Games,Gaming
/travel,Travel
/Travel/Air Travel,Travel
/Travel/Air Travel/Airport Parking & Transportation,Travel
/Travel/Bus & Rail,Travel
/Travel/Car Rental & Taxi Services,Travel
/Travel/Cruises & Charters,Travel
/Travel/Hotels & Accommodations,Travel
/Travel/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,Travel
/Travel/Specialty Travel,Travel
/Travel/Tourist Destinations,Travel
/Travel/Tourist Destinations/Beaches & Islands,Travel
/Travel/Tourist Destinations/Mountain & Ski Resorts,Travel
/Travel/Tourist Destinations/Regional Parks & Gardens,Travel
/Travel/Tourist Destinations/Theme Parks,Travel
/Travel/Tourist Destinations/Zoos-Aquariums-Preserves,Travel
/Law & Government,Law
/Law & Government/Government,Law
/Law & Government/Government/Courts & Judiciary,Law
/Law & Government/Government/Visa & Immigration,Law
/Law & Government/Legal,Law
/Law & Government/Legal/Bankruptcy,Law
/Law & Government/Legal/Legal Education,Law
/Law & Government/Legal/Legal Services,Law
/Law & Government/Military,Law
/Law & Government/Public Safety,Law
/Law & Government/Public Safety/Crime & Justice,Law
/Law & Government/Public Safety/Emergency Services,Law
/Law & Government/Public Safety/Law Enforcement,Law
/Law & Government/Public Safety/Security Products & Services,Law
/Law & Government/Social Services,Law
/Jobs & Education,Education/Career
/Jobs & Education/Education,Education/Career
/Jobs & Education/Education/Colleges & Universities,Education/Career
/Jobs & Education/Education/Distance Learning,Education/Career
/Jobs & Education/Education/Homeschooling,Education/Career
